"Manufacturer Part Number","Manufacturer","Digi-Key Part Number","Customer Reference","Reference Designator","Packaging","Part Status","Quantity","Unit Price","Extended Price","Quantity Available","Mfg Std Lead Time","Description","RoHS Status","Lead Free Status","REACH Status"
"MFR-25FBF52-10K","Yageo","10.0KXBK-ND","","","Bulk","Active","20","0,07400","1,48 €","273944","16 Weeks","RES 10K OHM 1/4W 1% AXIAL","ROHS3 Compliant","Lead free","REACH Unaffected"
"CFR-25JB-52-1K","Yageo","1.0KQBK-ND","","","Bulk","Active","20","0,06200","1,24 €","288729","16 Weeks","RES 1K OHM 1/4W 5% AXIAL","ROHS3 Compliant","Lead free","REACH Unaffected"
"C315C104M5U5TA7303","KEMET","399-9859-1-ND","","","Cut Tape (CT)","Active","20","0,14900","2,98 €","16494","18 Weeks","CAP CER 0.1UF 50V Z5U RADIAL","ROHS3 Compliant","Lead free","REACH Unaffected"
"50YXJ100MT78X11.5","Rubycon","1189-1659-1-ND","","","Cut Tape (CT)","Active","10","0,22100","2,21 €","24470","20 Weeks","CAP ALUM 100UF 20% 50V RADIAL","ROHS3 Compliant","Lead free","REACH Unaffected"
"EEA-GA1E100H","Panasonic Electronic Components","P15799CT-ND","","","Cut Tape (CT)","Active","10","0,14900","1,49 €","9958","14 Weeks","CAP ALUM 10UF 20% 25V RADIAL","RoHS Compliant","Lead free","Not Available"
"FG11X5R0J107MRT00","TDK Corporation","445-181218-ND","","","Bulk","Last Time Buy","5","0,84000","4,20 €","592","Not Available","CAP CER 100UF 6.3V X5R RADIAL","ROHS3 Compliant","Lead free","Not Available"
"FG11X7R1C226MRT06","TDK Corporation","445-173115-1-ND","","","Cut Tape (CT)","Active","5","0,78000","3,90 €","1641","24 Weeks","CAP CER 22UF 16V X7R RADIAL","ROHS3 Compliant","Lead free","REACH Unaffected"
"EEU-FR1V102B","Panasonic Electronic Components","P15382CT-ND","","","Cut Tape (CT)","Active","5","0,94000","4,70 €","645","14 Weeks","CAP ALUM 1000UF 20% 35V RADIAL","RoHS Compliant","Lead free","Not Available"
"C5SMF-RJF-CT0W0BB1","Cree Inc.","C5SMF-RJF-CT0W0BB1-ND","","","Bulk","Active","5","0,13000","0,65 €","19794","6 Weeks","LED RED CLEAR 5MM OVAL T/H","RoHS Compliant","Lead free","Not Available"
"1N4007-TP","Micro Commercial Co","1N4007-TPMSCT-ND","","","Cut Tape (CT)","Active","10","0,10200","1,02 €","190181","12 Weeks","DIODE GEN PURP 1KV 1A DO41","ROHS3 Compliant","Lead free","REACH Unaffected"
"1N5240B-TR","Vishay Semiconductor Diodes Division","1N5240BVSCT-ND","","","Cut Tape (CT)","Active","10","0,14300","1,43 €","22711","10 Weeks","DIODE ZENER 10V 500MW DO35","ROHS3 Compliant","Lead free","REACH Unaffected"
"QBL7IW60D-CW","QT Brightek (QTB)","1516-QBL7IW60D-CW-ND","","","Bulk","Active","10","0,42500","4,25 €","333","9 Weeks","LED COOL WHITE, T-1, 3MM ROUND T","ROHS3 Compliant","Lead free","Not Available"
"STPS2045CT","STMicroelectronics","497-7550-5-ND","","","Tube","Active","10","1,12600","11,26 €","1951","11 Weeks","DIODE ARRAY SCHOTTKY 45V TO220AB","ROHS3 Compliant","Lead free","REACH Unaffected"
"IRF5305PBF","Infineon Technologies","IRF5305PBF-ND","","","Tube","Active","5","0,96000","4,80 €","2041","15 Weeks","MOSFET P-CH 55V 31A TO-220AB","ROHS3 Compliant","Lead free","REACH Unaffected"
"IRF540NPBF","Infineon Technologies","IRF540NPBF-ND","","","Tube","Active","15","0,78700","11,80 €","5929","Not Available","MOSFET N-CH 100V 33A TO-220AB","ROHS3 Compliant","Lead free","REACH Unaffected"
"STP75NF75","STMicroelectronics","497-2788-5-ND","","","Tube","Active","5","1,50000","7,50 €","8446","12 Weeks","MOSFET N-CH 75V 80A TO-220","ROHS3 Compliant","Lead free","REACH Unaffected"
"BC33716TA","ON Semiconductor","BC33716TAFSCT-ND","","","Cut Tape (CT)","Active","5","0,25000","1,25 €","5259","13 Weeks","TRANS NPN 45V 0.8A TO-92","ROHS3 Compliant","Lead free","REACH Unaffected"
"RNF14FTD47K0","Stackpole Electronics Inc","RNF14FTD47K0CT-ND","","","Cut Tape (CT)","Active","15","0,06500","0,97 €","34095","20 Weeks","RES 47K OHM 1/4W 1% AXIAL","ROHS3 Compliant","Lead free","REACH Unaffected"
"MBA02040C4709FCT00","Vishay BC Components","BC3277CT-ND","","","Cut Tape (CT)","Active","15","0,18300","2,74 €","8841","8 Weeks","RES 47 OHM 0.4W 1% AXIAL","ROHS3 Compliant","Lead free","Not Available"
"RNF18FTD100K","Stackpole Electronics Inc","RNF18FTD100KCT-ND","","","Cut Tape (CT)","Active","15","0,06500","0,97 €","33301","20 Weeks","RES 100K OHM 1/8W 1% AXIAL","ROHS3 Compliant","Lead free","REACH Unaffected"
"RNF14FTD10K0","Stackpole Electronics Inc","RNF14FTD10K0CT-ND","","","Cut Tape (CT)","Active","15","0,06500","0,97 €","222297","20 Weeks","RES 10K OHM 1/4W 1% AXIAL","ROHS3 Compliant","Lead free","REACH Unaffected"
"RNMF14FTC330R","Stackpole Electronics Inc","S330CACT-ND","","","Cut Tape (CT)","Active","15","0,06500","0,97 €","46505","20 Weeks","RES 330 OHM 1/4W 1% AXIAL","ROHS3 Compliant","Lead free","REACH Unaffected"
"RNF14FTD1K00","Stackpole Electronics Inc","RNF14FTD1K00CT-ND","","","Cut Tape (CT)","Active","5","0,09000","0,45 €","228420","20 Weeks","RES 1K OHM 1/4W 1% AXIAL","ROHS3 Compliant","Lead free","REACH Unaffected"
"RNF14FTD15K0","Stackpole Electronics Inc","RNF14FTD15K0CT-ND","","","Cut Tape (CT)","Active","10","0,06500","0,65 €","18822","20 Weeks","RES 15K OHM 1/4W 1% AXIAL","ROHS3 Compliant","Lead free","REACH Unaffected"
"MRS25000C3002FCT00","Vishay BC Components","BC4110CT-ND","","","Cut Tape (CT)","Active","5","0,26000","1,30 €","4660","14 Weeks","RES 30K OHM 0.6W 1% AXIAL","ROHS3 Compliant","Lead free","Not Available"
"SFR16S0002001FR500","Vishay BC Components","PPC2.00KXCT-ND","","","Cut Tape (CT)","Active","5","0,18000","0,90 €","6765","49 Weeks","RES 2K OHM 1/2W 1% AXIAL","ROHS3 Compliant","Lead free","Not Available"
"ALSR019K000JE12","Vishay Dale","ALSR1J-9.0K-ND","","","Bulk","Active","51","1,30780","66,69 €","87","10 Weeks","RES 9K OHM 1W 5% AXIAL","ROHS3 Compliant","Lead free","Not Available"
"3299W-1-203LF","Bourns Inc.","3299W-203LF-ND","","","Tube","Active","4","3,08000","12,32 €","2076","7 Weeks","TRIMMER 20K OHM 0.5W PC PIN TOP","ROHS3 Compliant","Lead free","REACH Unaffected"
"L78L09ABZ","STMicroelectronics","497-7274-ND","","","Bag","Active","5","0,29000","1,45 €","10241","8 Weeks","IC REG LINEAR 9V 100MA TO92-3","ROHS3 Compliant","Lead free","REACH Unaffected"
"UC3842N","Texas Instruments","296-11282-5-ND","","","Tube","Active","5","1,28000","6,40 €","697","6 Weeks","IC REG CTRLR PWM CM 8DIP","ROHS3 Compliant","Lead free","REACH Unaffected"
"UC3842BNG","ON Semiconductor","UC3842BNGOS-ND","","","Tube","Active","5","0,54000","2,70 €","1362","14 Weeks","IC REG CTRLR BST FLYBK ISO 8-DIP","ROHS3 Compliant","Lead free","REACH Unaffected"
"K12ABK15N","C&K","CKN10650-ND","","","Bulk","Active","8","2,16000","17,28 €","3619","14 Weeks","SWITCH PUSH SPST-NO 0.1A 30V","ROHS3 Compliant","Lead free","REACH Unaffected"